一、乾為天,一、乾為天,
釋：偉大的天，為君的道。（旱象逢河之象）,釋,偉大的天，為君的道。（旱象逢河之象）
初九：在潛伏時期，應當隱忍時機，不可妄動。,初九,在潛伏時期，應當隱忍時機，不可妄動。
九二：當偉大人物顯現時，給天下帶來生機與希望，有作為的人，應當擁護與支持，同時本身也應當接近群眾，結合有為的同志。,九二,當偉大人物顯現時，給天下帶來生機與希望，有作為的人，應當擁護與支持，同時本身也應當接近群眾，結合有為的同志。
九三：在成長時期，羽毛未豐，應當奮發努力，但必須戒慎恐懼，以防災禍。,九三,在成長時期，羽毛未豐，應當奮發努力，但必須戒慎恐懼，以防災禍。
九四：已經到了躍躍欲試的試鍊階段，決定進退應當謹慎把握最有利的時機。,九四,已經到了躍躍欲試的試鍊階段，決定進退應當謹慎把握最有利的時機。
九五：已經到了大展鴻圖的極盛時期，應當選賢與能，賢能也應當支持擁護。,九五,已經到了大展鴻圖的極盛時期，應當選賢與能，賢能也應當支持擁護。
上九：盛極而衰，是大自然的法則，應當警愓與節制。,上九,盛極而衰，是大自然的法則，應當警愓與節制。
,,
五路財神經卦解：乾宮三陽無量光、乾宮八卦藏天機,五路財神經卦解,乾宮三陽無量光、乾宮八卦藏天機
,,
,,
二、坤為地,二、坤為地,
釋：地的包容，為臣的道。（包容萬象之象）,釋,地的包容，為臣的道。（包容萬象之象）
初六：見微知著的道理。,初六,見微知著的道理。
六二：要直率，方正，寬大，是做人的基本態度。,六二,要直率，方正，寬大，是做人的基本態度。
六三：要含蓄。,六三,要含蓄。
六四：要收斂。,六四,要收斂。
六五：要謙遜。,六五,要謙遜。
上六：極端陰柔，是沒有主見，必然凶險。,上六,極端陰柔，是沒有主見，必然凶險。
,,
五路財神經卦解：坤宮大地無邊際、坤宮八卦載萬物,五路財神經卦解,坤宮大地無邊際、坤宮八卦載萬物
,,
,,
三、水雷屯,三、水雷屯,
釋：萌芽，充滿生的艱難。（亂絲無頭之象）,釋,萌芽，充滿生的艱難。（亂絲無頭之象）
初九：草創苦難的初期，雖然在躊躇，但也正是建功立業大有為的時期，要正行為才有利。,初九,草創苦難的初期，雖然在躊躇，但也正是建功立業大有為的時期，要正行為才有利。
六二：艱難的困境中，必須意志堅定，不為威武所屈，不被反常的現象動搖。,六二,艱難的困境中，必須意志堅定，不為威武所屈，不被反常的現象動搖。
六三：應當知機，明辨取捨，不可盲目行動。,六三,應當知機，明辨取捨，不可盲目行動。
